hours_studied,exam_score
3.75,16.41
9.51,32.92
7.32,27.14
5.99,18.98
1.56,9.24
1.56,10.39
0.58,9.7
8.66,29.95
6.01,21.42
7.08,25.24
0.21,7.45
9.7,34.75
8.32,28.91
2.12,12.4
1.82,10.65
1.83,12.44
3.04,12.72
5.25,20.09
4.32,17.17
2.91,10.81
6.12,23.95
1.39,9.71
2.92,13.77
3.66,15.52
4.56,15.85
7.85,27.71
2.0,10.3
5.14,18.82
5.92,22.45
0.46,7.2
6.08,27.0
1.71,10.46
0.65,7.47
9.49,33.32
9.66,30.13
8.08,29.2
3.05,14.26
0.98,12.86
6.84,25.14
4.4,18.81
1.22,8.59
4.95,17.52
0.34,8.32
9.09,33.78
2.59,14.35
6.63,23.06
3.12,17.16
5.2,17.8
5.47,22.58
1.85,14.93
9.7,32.11
7.75,27.12
9.39,33.38
8.95,30.84
5.98,19.84
9.22,32.79
0.88,5.53
1.96,11.83
0.45,4.52
3.25,17.86
3.89,15.09
2.71,12.5
8.29,31.49
3.57,13.24
2.81,13.88
5.43,23.9
1.41,6.01
8.02,29.44
0.75,7.76
9.87,36.17
7.72,25.69
1.99,8.32
0.06,6.21
8.15,30.06
7.07,26.71
7.29,27.56
7.71,26.78
0.74,7.69
3.58,16.34
1.16,7.05
8.63,34.62
6.23,24.65
3.31,12.54
0.64,8.22
3.11,12.38
3.25,16.33
7.3,29.21
6.38,22.49
8.87,33.54
4.72,19.99
1.2,10.23
7.13,30.19
7.61,27.33
5.61,20.33
7.71,26.35
4.94,18.18
5.23,20.53
4.28,18.51
0.25,6.32
1.08,9.89
